Supplier,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore
Supplier_100061,77,13,-7,76
Supplier_100062,78,8,6,69
Supplier_100063,86,8,16,100
Supplier_100064,70,1,9,66
Supplier_100065,79,2,10,43
Supplier_100066,95,10,25,57
Supplier_100067,100,15,19,96
Supplier_100068,80,12,3,71
Supplier_100069,63,8,31,74
Supplier_10007,67,16,7,68
Supplier_100070,74,8,21,92
Supplier_100071,92,17,13,64
Supplier_100072,65,7,4,56
Supplier_100073,97,12,9,87
Supplier_100074,75,12,12,97
Supplier_100075,93,5,12,58
Supplier_100076,89,3,16,100
Supplier_100077,83,0,5,66
Supplier_100078,80,7,13,66
Supplier_100079,85,17,17,59
Supplier_10008,78,8,8,87
Supplier_100080,100,7,12,78
Supplier_10009,83,1,2,54
Supplier_1001,70,12,15,100
Supplier_10010,80,2,-1,72
Supplier_10011,73,5,4,100
Supplier_10012,66,15,8,62
Supplier_10013,60,3,9,51
Supplier_10014,62,11,16,62
Supplier_10015,66,9,12,66
Supplier_10016,87,4,17,100
Supplier_10017,63,9,6,58
Supplier_10018,88,10,10,54
Supplier_10019,83,6,6,63
Supplier_1002,96,13,13,81
Supplier_10020,100,0,21,64
Supplier_10021,89,11,-4,61
Supplier_10022,82,7,1,68
Supplier_10023,86,8,7,97
Supplier_10024,74,0,6,90
Supplier_10025,82,4,18,45
Supplier_10026,100,9,21,48
Supplier_10027,99,13,17,72
Supplier_10028,78,17,14,97
Supplier_10029,57,15,24,71
Supplier_1003,88,15,8,80
Supplier_10030,77,3,18,100
Supplier_10031,87,11,22,44
Supplier_10032,69,8,7,49
Supplier_10033,100,14,11,82
Supplier_10034,71,8,12,100
Supplier_10035,82,5,14,67
Supplier_10036,93,1,24,94
Supplier_10037,83,5,12,52
Supplier_10038,83,11,16,70
Supplier_10039,89,16,15,39
Supplier_1004,61,9,18,54
Supplier_10040,100,3,10,86
Supplier_10041,64,3,11,98
Supplier_10042,91,18,-6,82
Supplier_10043,87,14,17,70
Supplier_10044,64,8,21,77
Supplier_10045,74,8,0,100
Supplier_10046,72,2,-5,100
Supplier_10047,65,10,6,88
Supplier_10048,82,7,3,88
Supplier_10049,88,0,1,44
Supplier_1005,80,11,11,99
Supplier_10050,79,3,8,75
Supplier_10051,62,9,13,100
Supplier_10052,66,16,9,49
Supplier_10053,62,4,9,48
Supplier_10054,60,15,23,66
Supplier_10055,59,10,18,66
Supplier_10056,89,0,9,100
Supplier_10057,66,10,-1,52
Supplier_10058,79,12,1,59
Supplier_10059,88,2,10,50
Supplier_1006,74,3,7,97
Supplier_10060,91,2,14,65
Supplier_10061,84,17,9,54
Supplier_10062,81,11,16,65
Supplier_10063,85,8,1,100
Supplier_10064,81,0,1,84
Supplier_10065,74,1,14,61
Supplier_10066,96,8,20,40
Supplier_10067,97,14,21,78
Supplier_10068,81,17,20,66
Supplier_10069,65,9,22,55
Supplier_1007,67,11,3,63
Supplier_10070,76,0,25,66
Supplier_10071,82,13,21,40
Supplier_10072,61,12,14,70
Supplier_10073,100,14,10,100
Supplier_10074,75,13,11,77
Supplier_10075,94,4,10,64
Supplier_10076,94,0,20,97
Supplier_10077,81,6,17,45
Supplier_10078,80,9,13,62
Supplier_10079,88,17,17,70
Supplier_1008,84,7,0,30
Supplier_10080,92,6,13,89
Supplier_10081,71,6,20,92
Supplier_10082,87,18,0,75
Supplier_10083,89,15,18,63
Supplier_10084,70,7,18,35
Supplier_10085,79,9,11,88
Supplier_10086,73,0,8,93
Supplier_10087,59,16,6,52
Supplier_10088,75,5,1,60
Supplier_10089,89,11,2,41
Supplier_1009,90,2,4,70
Supplier_10090,83,3,18,86
Supplier_10091,67,6,1,93
Supplier_10092,58,13,0,83
Supplier_10093,55,10,5,66
Supplier_10094,60,15,19,70
Supplier_10095,63,15,11,63
Supplier_10096,93,1,6,74
Supplier_10097,70,6,4,61
Supplier_10098,87,14,2,70
Supplier_10099,84,6,7,73
Supplier_101,77,13,1,74
Supplier_1010,75,0,13,86
Supplier_10100,95,5,7,59
Supplier_10101,89,14,1,68
Supplier_10102,81,4,14,78
Supplier_10103,73,7,13,100
Supplier_10104,71,2,0,62
Supplier_10105,76,0,20,32
Supplier_10106,94,6,12,65
Supplier_10107,100,16,23,92
Supplier_10108,79,13,21,94
Supplier_10109,64,18,19,72
Supplier_1011,74,8,10,97
Supplier_10110,82,6,21,92
Supplier_10111,81,13,17,71
Supplier_10112,72,17,7,49
Supplier_10113,95,16,6,66
Supplier_10114,73,10,11,100
Supplier_10115,89,9,11,60
Supplier_10116,95,4,17,89
Supplier_10117,86,0,11,57
Supplier_10118,86,5,11,62
Supplier_10119,84,12,18,46
Supplier_1012,64,11,6,44
Supplier_10120,92,10,16,89
Supplier_10121,74,5,20,66
Supplier_10122,90,20,7,83
Supplier_10123,91,16,21,65
Supplier_10124,58,9,21,50
Supplier_10125,76,10,8,90
Supplier_10126,71,5,0,95
Supplier_10127,65,7,2,84
Supplier_10128,70,3,2,71
Supplier_10129,87,2,5,69
Supplier_1013,73,10,15,53
Supplier_10130,72,0,17,83
Supplier_10131,70,14,9,100
Supplier_10132,59,11,0,64
Supplier_10133,62,10,16,52
Supplier_10134,63,8,19,81
Supplier_10135,59,10,4,88
Supplier_10136,85,6,6,92
Supplier_10137,62,13,4,61
Supplier_10138,79,10,4,56
Supplier_10139,90,3,15,79
Supplier_1014,61,11,26,74
Supplier_10140,92,3,15,91
Supplier_10141,82,15,-10,66
Supplier_10142,83,3,22,65
Supplier_10143,79,10,8,100
Supplier_10144,71,2,5,100
Supplier_10145,80,3,18,63
Supplier_10146,100,10,22,59
Supplier_10147,93,10,23,45
Supplier_10148,78,11,11,83
Supplier_10149,57,17,18,59
Supplier_1015,70,11,16,90
Supplier_10150,75,0,18,58
Supplier_10151,84,11,20,44
Supplier_10152,62,11,11,44
Supplier_10153,96,15,14,100
Supplier_10154,67,9,2,68
Supplier_10155,90,3,21,75
Supplier_10156,99,2,25,97
Supplier_10157,80,2,16,57
Supplier_10158,82,10,11,89
Supplier_10159,89,14,9,60
Supplier_1016,88,7,4,100
Supplier_10160,100,2,10,85
Supplier_10161,58,8,14,73
Supplier_10162,91,17,2,87
Supplier_10163,89,10,5,97
Supplier_10164,64,7,18,68
Supplier_10165,67,11,10,84
Supplier_10166,74,9,5,100
Supplier_10167,69,13,5,78
Supplier_10168,81,2,9,73
Supplier_10169,82,10,0,72
Supplier_1017,64,10,9,62
Supplier_10170,75,1,-2,73
Supplier_10171,76,10,10,78
Supplier_10172,67,13,-3,85
Supplier_10173,68,4,14,50
Supplier_10174,65,10,20,100
Supplier_10175,60,7,8,71
Supplier_10176,86,0,9,78
Supplier_10177,67,9,5,60
Supplier_10178,88,8,8,53
Supplier_10179,92,3,11,89
Supplier_1018,84,13,2,63
Supplier_10180,100,0,12,39
Supplier_10181,77,20,3,98
Supplier_10182,81,8,13,100
Supplier_10183,84,6,14,91
Supplier_10184,76,5,4,75
Supplier_10185,76,8,9,68
Supplier_10186,100,5,16,54
Supplier_10187,93,15,22,41
Supplier_10188,75,14,14,76
Supplier_10189,65,14,18,64
Supplier_1019,85,2,15,59
Supplier_10190,85,2,18,95
Supplier_10191,81,9,27,45
Supplier_10192,64,15,8,30
Supplier_10193,100,14,5,85
Supplier_10194,73,12,18,86
Supplier_10195,89,6,8,72
Supplier_10196,97,4,12,60
Supplier_10197,85,0,9,52
Supplier_10198,88,7,9,75
Supplier_10199,92,13,14,64
Supplier_102,78,5,16,68
Supplier_1020,99,3,24,69
Supplier_10200,97,4,8,88
Supplier_10201,65,5,21,78
Supplier_10202,93,16,9,76
Supplier_10203,90,11,15,68
Supplier_10204,64,7,20,65
Supplier_10205,77,15,7,81
Supplier_10206,77,9,10,78
Supplier_10207,69,6,7,62
Supplier_10208,75,0,2,54
Supplier_10209,86,4,4,73
Supplier_1021,85,14,0,73
Supplier_10210,74,0,7,86
Supplier_10211,68,5,3,87
Supplier_10212,65,12,8,51
Supplier_10213,68,4,12,43
Supplier_10214,64,9,20,69
Supplier_10215,55,10,4,78
Supplier_10216,83,5,11,78
Supplier_10217,71,4,10,57
Supplier_10218,75,10,-3,69
Supplier_10219,91,12,6,57
Supplier_1022,78,11,12,58
Supplier_10220,99,3,19,88
Supplier_10221,88,13,13,73
Supplier_10222,79,10,6,70
Supplier_10223,73,10,4,100
Supplier_10224,76,2,-2,62
Supplier_10225,84,0,15,62
Supplier_10226,100,7,22,61
Supplier_10227,95,11,18,76
Supplier_10228,79,11,17,72
Supplier_10229,62,15,12,98
Supplier_1023,81,9,6,78
Supplier_10230,74,7,12,81
Supplier_10231,88,11,23,30
Supplier_10232,60,10,20,52
Supplier_10233,94,16,13,95
Supplier_10234,69,14,11,90
Supplier_10235,84,2,5,70
Supplier_10236,96,3,20,66
Supplier_10237,89,0,6,45
Supplier_10238,83,8,7,54
Supplier_10239,81,11,22,55
Supplier_1024,83,2,7,72
Supplier_10240,99,8,16,100
Supplier_10241,71,3,18,81
Supplier_10242,89,15,-6,86
Supplier_10243,86,20,19,100
Supplier_10244,66,7,18,78
Supplier_10245,83,13,14,96
Supplier_10246,70,6,7,84
Supplier_10247,58,6,7,90
Supplier_10248,84,3,13,64
Supplier_10249,89,2,-1,76
Supplier_1025,86,3,17,42
Supplier_10250,77,3,12,88
Supplier_10251,67,9,9,100
Supplier_10252,67,14,9,52
Supplier_10253,67,9,12,42
Supplier_10254,61,8,22,64
Supplier_10255,63,18,0,83
Supplier_10256,82,0,7,83
Supplier_10257,70,6,-2,71
Supplier_10258,85,11,-5,63
Supplier_10259,84,1,9,83
Supplier_1026,98,9,11,52
Supplier_10260,97,1,20,84
Supplier_10261,83,12,-2,62
Supplier_10262,84,8,14,79
Supplier_10263,83,6,10,92
Supplier_10264,73,0,1,60
Supplier_10265,82,2,21,49
Supplier_10266,98,15,17,43
Supplier_10267,96,14,11,77
Supplier_10268,79,11,17,87
Supplier_10269,63,7,24,52
Supplier_1027,98,17,14,95
Supplier_10270,79,0,14,78
Supplier_10271,83,12,25,45
Supplier_10272,63,16,11,62
Supplier_10273,100,16,10,91
Supplier_10274,77,9,6,94
Supplier_10275,87,0,10,76
Supplier_10276,97,1,17,88
Supplier_10277,84,1,16,65
Supplier_10278,86,7,9,92
Supplier_10279,88,16,14,68
Supplier_1028,79,14,13,100
Supplier_10280,100,4,8,95
Supplier_10281,65,4,9,75
Supplier_10282,92,16,-1,61
Supplier_10283,92,10,25,90
Supplier_10284,65,8,15,81
Supplier_10285,77,15,7,85
Supplier_10286,73,8,6,100
Supplier_10287,63,11,8,80
Supplier_10288,81,2,8,71
Supplier_10289,84,2,6,61
Supplier_1029,66,12,21,76
Supplier_10290,74,0,6,94
Supplier_10291,65,8,18,89
Supplier_10292,57,10,10,75
Supplier_10293,61,7,6,65
Supplier_10294,63,9,19,78
Supplier_10295,63,11,3,75
Supplier_10296,86,7,9,100
Supplier_10297,58,3,1,58
Supplier_10298,92,10,0,43
Supplier_10299,90,3,14,73
Supplier_103,80,3,11,96
Supplier_1030,73,3,12,75
Supplier_10300,99,0,16,91
Supplier_10301,91,19,0,85
Supplier_10302,76,4,10,76
Supplier_10303,89,8,-1,87
Supplier_10304,70,3,2,65
Supplier_10305,80,3,10,70
Supplier_10306,91,6,13,52
Supplier_10307,98,16,14,57
Supplier_10308,81,13,15,84
Supplier_10309,63,6,19,53
Supplier_1031,83,9,19,47
Supplier_10310,80,1,14,96
Supplier_10311,84,11,21,60
Supplier_10312,63,14,6,73
Supplier_10313,96,12,-1,90
Supplier_10314,76,16,3,99
Supplier_10315,87,4,11,65
Supplier_10316,99,5,26,87
Supplier_10317,89,3,10,64
Supplier_10318,77,9,13,98
Supplier_10319,92,17,13,52
Supplier_1032,58,9,15,52
Supplier_10320,100,6,7,89
Supplier_10321,65,7,20,93
Supplier_10322,94,15,7,72
Supplier_10323,92,14,9,89
Supplier_10324,63,5,21,51
Supplier_10325,78,12,6,93
Supplier_10326,67,10,11,91
Supplier_10327,64,13,7,34
Supplier_10328,83,6,11,70
Supplier_10329,88,2,12,62
Supplier_1033,100,17,8,82
Supplier_10330,81,0,11,67
Supplier_10331,66,6,17,100
Supplier_10332,61,17,4,52
Supplier_10333,73,8,12,43
Supplier_10334,63,7,24,62
Supplier_10335,64,15,14,78
Supplier_10336,87,8,12,79
Supplier_10337,64,11,6,41
Supplier_10338,92,14,10,86
Supplier_10339,84,1,9,67
Supplier_1034,76,7,12,88
Supplier_10340,92,2,14,82
Supplier_10341,81,18,1,100
Supplier_10342,72,9,8,67
Supplier_10343,78,11,12,98
Supplier_10344,70,0,9,75
Supplier_10345,81,0,19,67
Supplier_10346,93,7,8,46
Supplier_10347,100,13,19,67
Supplier_10348,85,21,17,81
Supplier_10349,67,10,21,74
Supplier_1035,88,7,12,55
Supplier_10350,76,0,22,79
Supplier_10351,85,8,19,50
Supplier_10352,59,10,16,44
Supplier_10353,97,14,-1,100
Supplier_10354,70,5,11,90
Supplier_10355,93,3,13,62
Supplier_10356,100,0,22,100
Supplier_10357,86,2,15,64
Supplier_10358,76,11,15,61
Supplier_10359,86,13,25,42
Supplier_1036,100,1,23,92
Supplier_10360,96,7,11,96
Supplier_10361,64,4,12,79
Supplier_10362,89,18,4,82
Supplier_10363,89,13,11,88
Supplier_10364,59,10,18,71
Supplier_10365,73,13,6,67
Supplier_10366,75,10,2,93
Supplier_10367,59,12,4,74
Supplier_10368,83,5,5,38
Supplier_10369,81,7,-1,30
Supplier_1037,79,0,20,64
Supplier_10370,84,6,16,75
Supplier_10371,66,12,13,78
Supplier_10372,62,20,6,38
Supplier_10373,66,6,6,67
Supplier_10374,62,12,20,100
Supplier_10375,64,11,14,70
Supplier_10376,89,2,12,64
Supplier_10377,71,12,8,60
Supplier_10378,89,3,3,60
Supplier_10379,85,5,16,67
Supplier_1038,78,12,13,63
Supplier_10380,96,5,9,75
Supplier_10381,92,16,-1,83
Supplier_10382,84,9,15,51
Supplier_10383,77,1,13,100
Supplier_10384,74,6,2,84
Supplier_10385,78,1,12,73
Supplier_10386,95,11,26,46
Supplier_10387,93,13,24,61
Supplier_10388,77,15,12,63
Supplier_10389,71,14,11,73
Supplier_1039,88,9,16,54
Supplier_10390,79,4,16,73
Supplier_10391,74,10,23,56
Supplier_10392,70,12,14,66
Supplier_10393,100,11,4,100
Supplier_10394,72,14,19,83
Supplier_10395,93,0,12,70
Supplier_10396,92,0,21,76
Supplier_10397,82,0,15,65
Supplier_10398,90,7,10,81
Supplier_10399,86,14,23,55
Supplier_104,71,5,7,79
Supplier_1040,100,10,8,84
Supplier_10400,89,8,13,87
Supplier_10401,64,8,16,72
Supplier_10402,92,14,2,77
Supplier_10403,93,15,13,65
Supplier_10404,64,3,23,64
Supplier_10405,75,14,11,91
Supplier_10406,76,5,3,99
Supplier_10407,63,10,8,75
Supplier_10408,78,5,4,87
Supplier_10409,91,2,-8,65
Supplier_1041,71,13,11,79
Supplier_10410,78,0,10,91
Supplier_10411,69,12,8,90
Supplier_10412,64,16,5,68
Supplier_10413,61,7,5,61
Supplier_10414,62,10,18,73
Supplier_10415,63,10,10,92
Supplier_10416,86,2,20,84
Supplier_10417,72,13,-2,78
Supplier_10418,87,10,9,58
Supplier_10419,89,0,3,54
Supplier_1042,90,20,10,100
Supplier_10420,97,0,14,74
Supplier_10421,87,11,-2,84
Supplier_10422,82,0,8,73
Supplier_10423,81,4,6,94
Supplier_10424,74,0,4,78
Supplier_10425,75,3,17,56
Supplier_10426,98,9,13,60
Supplier_10427,98,17,13,70
Supplier_10428,77,16,13,78
Supplier_10429,68,19,25,57
Supplier_1043,92,13,13,68
Supplier_10430,72,0,22,84
Supplier_10431,82,9,20,30
Supplier_10432,69,15,17,38
Supplier_10433,99,15,7,66
Supplier_10434,73,11,13,98
Supplier_10435,91,7,16,80
Supplier_10436,96,5,17,98
Supplier_10437,78,0,11,53
Supplier_10438,83,8,1,70
Supplier_10439,93,15,23,68
Supplier_1044,64,11,16,76
Supplier_10440,93,0,10,99
Supplier_10441,63,3,14,58
Supplier_10442,90,16,3,88
Supplier_10443,88,17,10,79
Supplier_10444,62,6,21,63
Supplier_10445,79,9,13,74
Supplier_10446,73,6,6,90
Supplier_10447,66,11,5,72
Supplier_10448,77,3,4,64
Supplier_10449,85,0,14,59
Supplier_1045,76,15,12,100
Supplier_10450,76,0,2,89
Supplier_10451,71,4,15,95
Supplier_10452,60,11,1,67
Supplier_10453,69,6,8,43
Supplier_10454,69,9,23,61
Supplier_10455,59,17,15,95
Supplier_10456,85,5,11,59
Supplier_10457,65,13,11,81
Supplier_10458,97,10,8,61
Supplier_10459,84,1,15,74
Supplier_1046,76,4,2,100
Supplier_10460,100,0,27,85
Supplier_10461,78,14,5,76
Supplier_10462,76,5,13,59
Supplier_10463,78,6,5,92
Supplier_10464,71,0,12,66
Supplier_10465,78,2,16,41
Supplier_10466,93,12,17,64
Supplier_10467,95,16,18,71
Supplier_10468,84,16,16,100
Supplier_10469,69,12,26,64
Supplier_1047,66,8,2,74
Supplier_10470,81,0,19,79
Supplier_10471,86,14,25,71
Supplier_10472,65,7,11,72
Supplier_10473,96,13,0,87
Supplier_10474,69,8,8,93
Supplier_10475,91,6,7,79
Supplier_10476,90,7,21,81
Supplier_10477,80,0,9,61
Supplier_10478,89,13,10,90
Supplier_10479,95,13,19,38
Supplier_1048,75,6,-5,71
Supplier_10480,98,5,9,96
Supplier_10481,68,3,17,89
Supplier_10482,91,18,0,90
Supplier_10483,83,17,10,86
Supplier_10484,66,6,17,73
Supplier_10485,79,14,11,77
Supplier_10486,72,4,-4,100
Supplier_10487,62,14,4,60
Supplier_10488,85,4,-8,58
Supplier_10489,82,7,9,40
Supplier_1049,92,6,0,48
Supplier_10490,74,3,0,73
Supplier_10491,65,9,4,76
Supplier_10492,63,7,-1,65
Supplier_10493,61,8,11,48
Supplier_10494,61,14,20,53
Supplier_10495,60,13,11,75
Supplier_10496,86,8,9,86
Supplier_10497,61,10,2,59
Supplier_10498,86,8,-2,67
Supplier_10499,91,4,7,83
Supplier_105,78,1,13,43
Supplier_1050,83,4,7,73
Supplier_10500,98,5,14,99
Supplier_10501,89,15,4,74
Supplier_10502,85,5,6,70
Supplier_10503,84,9,7,100
Supplier_10504,74,3,5,71
Supplier_10505,79,6,26,45
Supplier_10506,99,6,25,46
Supplier_10507,96,12,11,75
Supplier_10508,71,19,11,64
Supplier_10509,66,11,18,86
Supplier_1051,66,11,12,76
Supplier_10510,72,0,19,86
Supplier_10511,80,7,17,51
Supplier_10512,65,14,18,60
Supplier_10513,98,13,9,58
Supplier_10514,67,9,10,98
Supplier_10515,91,9,12,62
Supplier_10516,99,3,21,84
Supplier_10517,79,4,8,55
Supplier_10518,89,9,11,83
Supplier_10519,81,13,24,69
Supplier_1052,65,14,14,63
Supplier_10520,100,2,4,91
Supplier_10521,62,4,13,64
Supplier_10522,93,14,6,92
Supplier_10523,80,11,12,82
Supplier_10524,64,9,19,55
Supplier_10525,78,10,3,94
Supplier_10526,72,6,2,92
Supplier_10527,61,10,3,66
Supplier_10528,77,3,10,47
Supplier_10529,91,0,1,66
Supplier_1053,67,5,9,38
Supplier_10530,77,0,1,59
Supplier_10531,75,7,15,100
Supplier_10532,61,13,4,63
Supplier_10533,63,5,11,54
Supplier_10534,67,11,16,60
Supplier_10535,57,13,12,83
Supplier_10536,82,7,9,73
Supplier_10537,71,13,3,58
Supplier_10538,81,13,-5,63
Supplier_10539,79,1,6,72
Supplier_1054,65,14,22,77
Supplier_10540,100,1,17,47
Supplier_10541,77,18,4,80
Supplier_10542,81,6,15,74
Supplier_10543,81,10,15,100
Supplier_10544,63,2,8,79
Supplier_10545,78,0,13,57
Supplier_10546,98,15,12,50
Supplier_10547,99,16,19,83
Supplier_10548,83,16,14,61
Supplier_10549,62,13,22,94
Supplier_1055,61,15,6,71
Supplier_10550,80,2,17,82
Supplier_10551,81,10,10,31
Supplier_10552,59,14,13,58
Supplier_10553,93,13,12,100
Supplier_10554,67,8,20,96
Supplier_10555,94,2,12,73
Supplier_10556,89,0,22,79
Supplier_10557,85,0,11,50
Supplier_10558,83,5,4,67
Supplier_10559,87,12,17,48
Supplier_1056,84,5,15,89
Supplier_10560,100,3,11,84
Supplier_10561,62,1,19,78
Supplier_10562,94,20,4,93
Supplier_10563,88,14,19,74
Supplier_10564,63,6,19,70
Supplier_10565,86,10,15,93
Supplier_10566,66,7,3,99
Supplier_10567,68,11,-7,95
Supplier_10568,84,4,4,54
Supplier_10569,84,5,0,52
Supplier_1057,67,9,1,46
Supplier_10570,84,3,8,90
Supplier_10571,62,2,3,94
Supplier_10572,61,13,5,59
Supplier_10573,60,7,4,45
Supplier_10574,66,10,19,61
Supplier_10575,59,8,3,93
Supplier_10576,89,4,13,81
Supplier_10577,66,10,2,50
Supplier_10578,84,11,1,57
Supplier_10579,88,6,17,51
Supplier_1058,91,9,11,48
Supplier_10580,96,4,9,71
Supplier_10581,79,13,3,85
Supplier_10582,91,8,13,83
Supplier_10583,79,6,14,100
Supplier_10584,65,4,12,78
Supplier_10585,76,4,22,61
Supplier_10586,91,11,19,61
Supplier_10587,100,13,12,58
Supplier_10588,80,18,5,60
Supplier_10589,66,14,19,68
Supplier_1059,88,0,16,63
Supplier_10590,76,0,13,87
Supplier_10591,83,11,15,43
Supplier_10592,64,10,22,79
Supplier_10593,98,15,10,76
Supplier_10594,76,12,8,94
Supplier_10595,91,4,11,62
Supplier_10596,97,0,25,96
Supplier_10597,86,3,9,55
Supplier_10598,88,9,10,79
Supplier_10599,88,10,21,55
Supplier_106,98,11,17,49
Supplier_1060,96,0,13,71
Supplier_10600,97,9,6,54
Supplier_10601,69,4,24,96
Supplier_10602,89,12,-4,77
Supplier_10603,85,15,12,64
Supplier_10604,59,5,20,37
Supplier_10605,78,7,10,92
Supplier_10606,65,6,8,100
Supplier_10607,65,9,-1,68
Supplier_10608,81,6,4,60
Supplier_10609,91,8,0,58
Supplier_1061,86,18,4,59
Supplier_10610,74,4,5,70
Supplier_10611,68,7,15,87
Supplier_10612,67,13,-1,57
Supplier_10613,71,1,14,44
Supplier_10614,61,8,22,69
Supplier_10615,64,15,10,79
Supplier_10616,88,8,4,73
Supplier_10617,68,15,4,78
Supplier_10618,85,8,4,51
Supplier_10619,91,4,10,85
Supplier_1062,69,7,8,68
Supplier_10620,89,0,19,73
Supplier_10621,81,14,15,61
Supplier_10622,82,10,12,69
Supplier_10623,83,8,13,96
Supplier_10624,79,0,15,86
Supplier_10625,84,2,7,43
Supplier_10626,95,5,20,46
Supplier_10627,100,12,18,71
Supplier_10629,68,16,18,62
Supplier_1063,86,4,2,91
Supplier_10630,84,1,16,81
Supplier_10631,89,16,18,48
Supplier_10632,65,16,16,100
Supplier_10633,97,17,5,100
Supplier_10634,67,11,15,100
Supplier_10635,91,4,-1,52
Supplier_10636,91,0,18,77
Supplier_10637,81,0,19,57
Supplier_10638,79,3,9,83
Supplier_10639,85,12,19,61
Supplier_1064,67,1,1,100
Supplier_10640,96,8,6,84
Supplier_10641,65,5,22,79
Supplier_10642,90,20,0,78
Supplier_10643,92,10,15,79
Supplier_10644,63,12,20,74
Supplier_10645,74,13,10,95
Supplier_10646,73,8,4,76
Supplier_10647,71,15,-4,87
Supplier_10648,82,7,5,80
Supplier_10649,85,0,3,47
Supplier_1065,78,1,17,66
Supplier_10650,71,7,3,86
Supplier_10651,68,7,11,85
Supplier_10652,64,11,11,59
Supplier_10653,63,9,9,42
Supplier_10654,57,8,17,54
Supplier_10655,60,13,14,65
Supplier_10656,93,0,7,73
Supplier_10657,73,10,14,37
Supplier_10658,82,11,5,54
Supplier_10659,89,2,19,66
Supplier_1066,92,10,14,58
Supplier_10660,92,0,10,80
Supplier_10661,89,17,-2,82
Supplier_10662,81,7,7,76
Supplier_10663,85,4,12,100
Supplier_10664,67,3,12,100
Supplier_10665,82,0,8,50
Supplier_10666,96,4,23,76
Supplier_10667,100,9,22,52
Supplier_10668,83,15,12,74
Supplier_10669,64,11,24,47
Supplier_1067,93,13,24,63
Supplier_10670,75,0,20,90
Supplier_10671,87,12,9,63
Supplier_10672,65,6,6,69
Supplier_10673,95,15,7,100
Supplier_10674,69,9,19,81
Supplier_10675,84,4,2,70
Supplier_10676,93,4,13,92
Supplier_10677,88,5,9,41
Supplier_10678,85,5,2,80
Supplier_10679,85,17,18,33
Supplier_1068,84,15,13,75
Supplier_10680,99,9,6,81
Supplier_10681,61,4,23,57
Supplier_10682,92,16,-2,70
Supplier_10683,87,13,10,79
Supplier_10684,67,4,18,70
Supplier_10685,71,15,13,79
Supplier_10686,69,5,4,100
Supplier_10687,56,16,11,57
Supplier_10688,80,9,7,62
Supplier_10689,91,0,2,60
Supplier_1069,62,6,19,59
Supplier_10690,75,6,-2,80
Supplier_10691,67,8,11,100
Supplier_10692,66,14,1,56
Supplier_10693,69,7,11,49
Supplier_10694,64,8,25,68
Supplier_10695,66,11,11,76
Supplier_10696,83,8,8,71
Supplier_10697,73,11,5,65
Supplier_10698,95,6,1,59
Supplier_10699,88,7,6,78
Supplier_107,100,16,20,87
Supplier_1070,78,0,20,92
Supplier_10700,89,0,10,65
Supplier_10701,81,17,0,65
Supplier_10702,82,11,15,76
Supplier_10703,79,3,17,93
Supplier_10704,79,4,12,75
Supplier_10705,81,5,20,48
Supplier_10706,93,14,12,30
